User-ID,ISBN,Book-Rating
276847,0446364193,0.0
276925,002542730X,10.0
276925,0316666343,0.0
276925,0385504209,8.0
276925,0804106304,0.0
276925,0971880107,0.0
276929,0060964049,0.0
276929,0439064864,0.0
277157,034541389X,0.0
277157,0380731851,0.0
277157,0449221512,0.0
277157,0971880107,0.0
277195,0060391626,10.0
277195,0060502258,0.0
277195,0060987561,0.0
277195,0316666343,0.0
277195,042511774X,0.0
277195,0440236673,0.0
277195,0446604801,0.0
277195,0446605484,0.0
277195,0449134482,0.0
277195,0449223345,0.0
277195,0553268880,0.0
277195,0553572997,0.0
277195,0670869902,10.0
277195,0671021001,10.0
277195,0671510053,0.0
277195,0679745203,0.0
277195,0679746048,0.0
277195,080410946X,0.0
277195,1558743669,0.0
277203,0380600129,0.0
277203,039480001X,9.0
277378,0312195516,7.0
277378,0380731851,0.0
277378,0385474016,0.0
277378,0446608955,4.0
277378,0451137965,0.0
277378,0553279378,0.0
277378,0670892963,7.0
277378,0671028375,0.0
277378,0671683993,0.0
277378,0684872153,0.0
277378,0804114986,5.0
277378,0971880107,0.0
277427,002542730X,10.0
277427,0060930535,0.0
277427,0060934417,0.0
277427,0061009059,9.0
277427,0140067477,0.0
277427,014029628X,0.0
277427,014100018X,0.0
277427,0142001740,0.0
277427,0312966091,0.0
277427,031298328X,0.0
277427,0316096199,0.0
277427,0316168688,0.0
277427,0316284955,0.0
277427,0316569321,0.0
277427,0316602051,0.0
277427,0316666343,0.0
277427,0316776963,8.0
277427,0345334019,0.0
277427,0345339681,0.0
277427,0345361792,0.0
277427,0345404769,0.0
277427,0345404785,0.0
277427,0345413903,10.0
277427,0345436911,0.0
277427,0374199698,0.0
277427,0380600129,0.0
277427,0380710218,0.0
277427,0380718332,0.0
277427,0385482388,0.0
277427,0385484518,0.0
277427,0385486804,9.0
277427,038548951X,0.0
277427,0385503857,9.0
277427,0385504209,8.0
277427,0399501487,9.0
277427,0425107469,0.0
277427,0425115801,0.0
277427,0425116840,8.0
277427,0425121631,0.0
277427,0425154092,0.0
277427,0425158616,0.0
277427,0425174271,0.0
277427,0425175405,0.0
277427,0439064872,0.0
277427,0439136369,0.0
277427,043936213X,0.0
277427,0440213991,0.0
277427,0440224764,7.0
277427,0440225701,0.0
277427,0440236703,0.0
277427,0440236738,9.0
277427,0440241073,0.0
277427,0441172717,0.0
277427,0446603716,0.0
277427,0446604801,0.0
277427,0446607193,0.0
277427,0446608890,10.0
277427,0446611212,0.0
277427,0449221482,0.0
277427,0449221504,0.0
277427,0451169522,0.0
277427,0451177096,0.0
277427,0451202503,0.0
277427,0452284449,6.0
277427,0515132020,0.0
277427,0552137030,8.0
277427,0553268880,0.0
277427,0553271636,0.0
277427,0553279556,0.0
277427,0553280341,0.0
277427,0553280368,9.0
277427,0553571656,10.0
277427,0553571818,0.0
277427,0553572997,0.0
277427,0553582755,0.0
277427,0553801430,0.0
277427,0609804138,0.0
277427,0671001795,0.0
277427,0679457313,0.0
277427,0679731148,9.0
277427,0679736042,5.0
277427,0679751521,0.0
277427,0684872153,0.0
277427,0743412028,9.0
277427,080410753X,0.0
277427,0804108749,0.0
277427,080411918X,0.0
277427,0971880107,0.0
277427,1400031354,0.0
277427,1400034779,0.0
277478,0345351525,0.0
277478,0345443284,0.0
277478,0425161242,0.0
277478,0425169863,0.0
277478,0440225701,0.0
277478,0440234743,0.0
277478,0446607657,0.0
277478,0449907481,0.0
277478,0553579606,0.0
277478,0553579754,0.0
277478,0553580191,0.0
277478,0671003755,0.0
277478,0671888587,0.0
277478,0786868716,0.0
277478,080410526X,0.0
277478,0971880107,0.0
277639,0345391055,0.0
277639,034539657X,8.0
277639,0373825013,0.0
277639,0380731851,6.0
277639,0425142485,7.0
277639,0425147363,8.0
277639,042516098X,5.0
277639,0425161242,0.0
277639,0440211727,8.0
277639,0440213525,0.0
277639,0440214041,9.0
277639,0440218535,0.0
277639,0440222656,0.0
277639,0446359866,0.0
277639,0446611212,0.0
277639,0446612790,0.0
277639,0451170385,0.0
277639,0553579754,7.0
277639,0553582755,0.0
277928,0060173289,0.0
277928,0385323638,0.0
277928,038542471X,0.0
277928,0446532231,0.0
277928,0446670251,0.0
277928,0670880728,0.0
277928,0670892963,0.0
277928,0679429220,0.0
277928,0679457313,0.0
277928,0679731148,0.0
